"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 -0.3623555423346009
2 -0.2847887962629628
3 -0.2912618063551247
4 -0.2975844670092301
5 -0.3022820928567125
6 -0.3066291340929909
7 -0.3107128920161874
8 -0.3143323291266666
9 -0.3171974098786851
10 -0.3191634704784709
11 -0.3202347469976282
12 -0.3204663487291884
13 -0.3200027969046993
14 -0.3189590029884076
15 -0.3176363853583685
16 -0.3163234068603538
17 -0.3150595031769896
18 -0.3139991504126673
19 -0.313211763762609
20 -0.3127380942987693
21 -0.3125682364024557
22 -0.3126886704152159
23 -0.3130394582812588
24 -0.3135473149645185
25 -0.3141321477298804
26 -0.3147185494056668
27 -0.31521265897815
28 -0.3156163465241232
29 -0.3159015082155979
30 -0.316065128708014
31 -0.3161015570736552
32 -0.3160317423999914
33 -0.3158820810647519
34 -0.3156826949954157
35 -0.3154637584726068
36 -0.3152647798749031
37 -0.31508854076898
38 -0.3149502134999489
39 -0.3148584018557967
40 -0.3148134086797122
41 -0.3148157936657828
42 -0.314856924198581
43 -0.314926246822529
44 -0.3150118067910296
45 -0.3151013295998358
46 -0.3151798067233438
47 -0.3152465697489191
48 -0.3152963388194932
49 -0.3153267770148255
50 -0.3153384436784151
51 -0.3153326824772006
52 -0.3153133983489565
53 -0.3152848550007848
54 -0.3152517048699449
55 -0.3152182507927699
56 -0.3151898023889129
57 -0.3151663475892276
